Spesa,10.00,colazione e regalo nicole,04-09-2025
Ricavo,10.00,nonni,07-09-2025
Ricavo,20.00,zia per festa pisignano,12-09-2025
Ricavo,10.00,nonni,14-09-2025
Spesa,5.00,cruciverba e caramelle,16-09-2025
Spesa,5.00,benzina vespa,17-09-2025
Spesa,20.00,diciottesimo giammy,17-09-2025
Spesa,20.00,regalo nonna,20-09-2025
Spesa,5.00,calcetto,20-09-2025
Spesa,5.00,.p.,20-09-2025
Ricavo,10.00,nonni,21-09-2025
Spesa,10.00,uscita a vernole,21-09-2025
Spesa,5.00,benzina,23-09-2025
Spesa,15.00,uscita lecce,27-09-2025
Ricavo,20.00,nonna per domenica e onomastico,29-09-2025
